Contig name	Start	End	Scaffold name
10080	746216	760096	scaffold_0
9895	760196	762460	scaffold_0
9769	762560	767322	scaffold_0
9961	767422	769438	scaffold_0
9405	769538	778365	scaffold_0
9533	778465	786926	scaffold_0
4660	787026	789271	scaffold_0
10024	789371	804914	scaffold_0
6202	805014	807688	scaffold_0
9610	807788	822042	scaffold_0
1522	822142	823842	scaffold_0
9345	823942	840192	scaffold_0
10315	840292	845429	scaffold_0
9386	845529	848423	scaffold_0
9500	848523	853875	scaffold_0
10198	853975	863394	scaffold_0
10086	863494	874900	scaffold_0
228	875000	878580	scaffold_0
9917	878680	882618	scaffold_0
10327	882718	891639	scaffold_0
2473	891739	894280	scaffold_0
9516	894380	898944	scaffold_0
9148	899044	906063	scaffold_0
3249	906163	909004	scaffold_0
9639	909104	911571	scaffold_0
10135	911671	917610	scaffold_0
3983	917710	919701	scaffold_0
9557	919801	923565	scaffold_0
10439	923665	925021	scaffold_0
2705	925121	929072	scaffold_0
2994	929172	931300	scaffold_0
6439	931400	933074	scaffold_0
9857	933174	940636	scaffold_0
9781	940736	947016	scaffold_0
10040	947116	949256	scaffold_0
10234	949356	956996	scaffold_0
9688	957096	960051	scaffold_0
10269	960151	966954	scaffold_0
9740	967054	968576	scaffold_0
9572	968676	979205	scaffold_0
10009	979305	990422	scaffold_0
9759	990522	994871	scaffold_0
4178	994971	1001768	scaffold_0
10022	1001868	1009379	scaffold_0
10436	1009479	1012254	scaffold_0
9212	1012354	1015830	scaffold_0
10314	1015930	1017830	scaffold_0
10325	1017930	1021817	scaffold_0
9764	1021917	1026369	scaffold_0
136	1026469	1029122	scaffold_0
9233	1029222	1042388	scaffold_0
10321	1042488	1045654	scaffold_0
2300	1045754	1049128	scaffold_0
9109	1049228	1058942	scaffold_0
2701	1059042	1061980	scaffold_0
9909	1062080	1067363	scaffold_0
10382	1067463	1072764	scaffold_0
9560	1072864	1077320	scaffold_0
9438	1077420	1082327	scaffold_0
5964	1082427	1086615	scaffold_0
5297	1086715	1090623	scaffold_0
9294	1090723	1097153	scaffold_0
10058	1097253	1109255	scaffold_0
7124	1109355	1113939	scaffold_0
2985	1114039	1117126	scaffold_0
9366	1117226	1130853	scaffold_0
9552	1130953	1135681	scaffold_0
9441	1135781	1141858	scaffold_0
3920	0	5608	scaffold_1
9748	5708	12168	scaffold_1
9251	12268	20469	scaffold_1
10052	20569	24666	scaffold_1
10149	24766	30255	scaffold_1
9802	30355	33619	scaffold_1
9200	33719	35736	scaffold_1
2523	35836	39717	scaffold_1
9504	39817	44903	scaffold_1
10356	45003	50206	scaffold_1
10437	50306	62379	scaffold_1
9454	62479	64855	scaffold_1
9170	64955	73568	scaffold_1
3810	73668	75981	scaffold_1
10188	76081	85200	scaffold_1
9101	85300	87408	scaffold_1
9969	87508	92955	scaffold_1
9326	93055	95899	scaffold_1
9432	95999	103505	scaffold_1
9157	103605	110891	scaffold_1
9098	110991	114400	scaffold_1
10359	114500	120488	scaffold_1
10167	120588	128642	scaffold_1
4000	128742	134040	scaffold_1
9083	134140	137670	scaffold_1
7030	137770	139539	scaffold_1
10432	139639	143531	scaffold_1
10328	143631	146006	scaffold_1
9328	146106	152695	scaffold_1
9568	152795	156758	scaffold_1
9652	156858	159477	scaffold_1
10170	159577	162999	scaffold_1
10020	163099	167620	scaffold_1
10459	167720	171258	scaffold_1
9099	171358	182081	scaffold_1
10264	182181	189141	scaffold_1
10451	189241	195631	scaffold_1
10031	195731	197687	scaffold_1
9824	197787	199837	scaffold_1
3843	199937	201302	scaffold_1
9596	201402	202657	scaffold_1
10218	202757	207888	scaffold_1
10455	207988	213634	scaffold_1
10342	213734	216850	scaffold_1
10228	216950	222162	scaffold_1
10289	222262	223606	scaffold_1
10054	223706	229072	scaffold_1
9312	229172	232703	scaffold_1
9143	232803	236108	scaffold_1
10156	236208	238832	scaffold_1
10038	238932	240647	scaffold_1
2604	240747	243011	scaffold_1
9322	243111	247335	scaffold_1
9122	247435	273604	scaffold_1
10174	273704	280914	scaffold_1
9723	281014	283761	scaffold_1
9320	283861	292793	scaffold_1
10224	292893	301456	scaffold_1
10250	301556	308744	scaffold_1
9189	308844	310835	scaffold_1
10186	310935	324819	scaffold_1
9526	324919	329056	scaffold_1
9349	329156	330738	scaffold_1
9350	330838	333007	scaffold_1
10357	333107	339638	scaffold_1
9879	339738	344681	scaffold_1
10046	344781	349071	scaffold_1
9665	349171	374823	scaffold_1
9592	374923	376664	scaffold_1
10166	376764	384804	scaffold_1
9888	384904	392643	scaffold_1
9882	392743	406293	scaffold_1
9716	406393	408421	scaffold_1
9355	408521	416567	scaffold_1
10047	416667	422092	scaffold_1
10381	422192	430492	scaffold_1
9120	430592	437100	scaffold_1
10446	437200	455718	scaffold_1
9814	455818	459029	scaffold_1
9397	459129	461459	scaffold_1
9415	461559	475833	scaffold_1
6762	475933	478614	scaffold_1
9876	478714	482837	scaffold_1
9649	482937	485877	scaffold_1
10131	485977	491059	scaffold_1
2096	491159	492990	scaffold_1
1820	493090	495866	scaffold_1
6019	495966	501466	scaffold_1
9789	501566	508347	scaffold_1
9327	508447	511737	scaffold_1
9575	511837	513027	scaffold_1
9457	513127	518309	scaffold_1
9682	518409	522721	scaffold_1
6068	522821	525379	scaffold_1
10048	525479	529925	scaffold_1
10292	530025	543464	scaffold_1
9785	543564	545140	scaffold_1
9618	545240	551600	scaffold_1
10019	551700	559181	scaffold_1
9964	559281	566422	scaffold_1
9226	566522	578873	scaffold_1
3407	578973	581069	scaffold_1
10109	581169	585836	scaffold_1
10085	585936	593636	scaffold_1
3845	593736	595202	scaffold_1
4846	595302	596972	scaffold_1
4273	597072	598341	scaffold_1
10115	598441	603618	scaffold_1
10402	603718	607362	scaffold_1
9089	607462	611931	scaffold_1
9702	612031	615259	scaffold_1
9910	615359	617536	scaffold_1
9151	617636	628872	scaffold_1
9478	0	8817	scaffold_2
6251	8917	10247	scaffold_2
9330	10347	15493	scaffold_2
5213	15593	18957	scaffold_2
2289	19057	22105	scaffold_2
3073	22205	23978	scaffold_2
819	24078	28277	scaffold_2
1782	28377	30871	scaffold_2
9489	30971	42599	scaffold_2
9383	42699	48916	scaffold_2
9540	49016	52101	scaffold_2
3482	52201	54580	scaffold_2
9406	54680	59342	scaffold_2
1193	59442	62704	scaffold_2
10279	62804	66803	scaffold_2
10194	66903	73575	scaffold_2
9214	73675	77799	scaffold_2
10394	77899	81298	scaffold_2
6802	81398	84295	scaffold_2
9776	84395	89614	scaffold_2
10006	89714	109330	scaffold_2
9372	109430	119956	scaffold_2
9344	120056	123497	scaffold_2
10154	123597	127238	scaffold_2
9685	127338	131822	scaffold_2
4023	131922	133652	scaffold_2
5551	133752	135000	scaffold_2
3147	135100	139631	scaffold_2
9423	139731	144911	scaffold_2
10268	145011	148391	scaffold_2
9215	148491	154582	scaffold_2
7168	154682	157500	scaffold_2
9971	157600	159763	scaffold_2
9787	159863	162409	scaffold_2
9503	162509	168014	scaffold_2
10064	168114	169627	scaffold_2
9680	169727	172299	scaffold_2
1741	172399	173907	scaffold_2
1227	174007	178091	scaffold_2
9084	178191	201098	scaffold_2
9676	201198	211488	scaffold_2
2090	211588	213186	scaffold_2
7085	213286	214929	scaffold_2
9953	215029	224435	scaffold_2
9375	224535	232969	scaffold_2
10316	233069	238277	scaffold_2
9817	238377	241041	scaffold_2
9998	241141	243699	scaffold_2
1087	243799	245518	scaffold_2
10457	245618	250249	scaffold_2
10294	250349	259258	scaffold_2
9766	259358	261854	scaffold_2
1838	261954	265321	scaffold_2
9884	265421	270343	scaffold_2
9283	270443	272127	scaffold_2
10043	272227	276880	scaffold_2
1857	276980	278797	scaffold_2
10431	278897	299397	scaffold_2
9433	299497	303292	scaffold_2
9435	303392	314279	scaffold_2
9792	314379	330905	scaffold_2
10037	331005	341013	scaffold_2
2564	341113	342578	scaffold_2
9134	342678	348133	scaffold_2
9297	348233	350896	scaffold_2
9726	350996	361701	scaffold_2
9991	361801	365579	scaffold_2
9174	365679	368765	scaffold_2
9564	368865	372220	scaffold_2
9416	372320	379333	scaffold_2
10065	379433	400447	scaffold_2
10215	400547	406640	scaffold_2
1877	406740	408354	scaffold_2
10213	408454	411767	scaffold_2
5510	411867	414535	scaffold_2
9136	414635	422050	scaffold_2
10376	422150	440965	scaffold_2
9412	441065	452115	scaffold_2
9646	452215	460770	scaffold_2
10101	460870	464724	scaffold_2
9476	464824	468809	scaffold_2
9671	468909	481123	scaffold_2
4333	481223	484134	scaffold_2
9536	484234	494336	scaffold_2
9600	494436	503726	scaffold_2
9513	503826	518473	scaffold_2
9816	518573	529007	scaffold_2
9868	529107	531886	scaffold_2
4258	531986	533481	scaffold_2
9985	533581	538490	scaffold_2
9621	538590	540359	scaffold_2
9858	540459	543981	scaffold_2
10472	544081	545977	scaffold_2
10225	546077	547798	scaffold_2
9348	547898	550861	scaffold_2
9833	550961	557568	scaffold_2
9594	557668	559783	scaffold_2
6504	559883	561113	scaffold_2
9929	561213	572287	scaffold_2
7236	572387	577868	scaffold_2
9708	577968	592151	scaffold_2
9836	592251	600301	scaffold_2
9647	600401	612083	scaffold_2
9367	612183	623210	scaffold_2
9193	623310	626289	scaffold_2
10244	626389	630432	scaffold_2
10155	630532	641666	scaffold_2
10470	641766	646004	scaffold_2
10210	646104	649013	scaffold_2
9874	649113	655417	scaffold_2
9391	655517	667148	scaffold_2
9158	667248	670177	scaffold_2
10391	670277	676246	scaffold_2
10205	676346	684266	scaffold_2
9182	684366	703066	scaffold_2
9235	703166	706061	scaffold_2
9684	706161	718229	scaffold_2
10322	0	3549	scaffold_3
9425	3649	7321	scaffold_3
10469	7421	10464	scaffold_3
10118	10564	12852	scaffold_3
9139	12952	16413	scaffold_3
9407	16513	20514	scaffold_3
1490	20614	25732	scaffold_3
3264	25832	28463	scaffold_3
3024	28563	30859	scaffold_3
9831	30959	34656	scaffold_3
10441	34756	38331	scaffold_3
9870	38431	39995	scaffold_3
6244	40095	41647	scaffold_3
4636	41747	44756	scaffold_3
9815	44856	57139	scaffold_3
9566	57239	58604	scaffold_3
9537	58704	63296	scaffold_3
1700	63396	74722	scaffold_3
10145	74822	76782	scaffold_3
9376	76882	83450	scaffold_3
10030	83550	96763	scaffold_3
10184	96863	113041	scaffold_3
10238	113141	145671	scaffold_3
10303	145771	157191	scaffold_3
9892	157291	163571	scaffold_3
10298	163671	168992	scaffold_3
10286	169092	172097	scaffold_3
9535	172197	178389	scaffold_3
4159	178489	180306	scaffold_3
9883	180406	186820	scaffold_3
9488	186920	196273	scaffold_3
10027	196373	197938	scaffold_3
1428	198038	205270	scaffold_3
10385	205370	222891	scaffold_3
1845	222991	224261	scaffold_3
9501	224361	227766	scaffold_3
9734	227866	234857	scaffold_3
10271	234957	240301	scaffold_3
9839	240401	251465	scaffold_3
10465	251565	254304	scaffold_3
9277	254404	261528	scaffold_3
